Postcode,Average net tax 1,Percentage of total Average Tax paid,Average Salary 1,Percentage of Total State Income,Average Net Tax ,Average Salary
3570,9486,0.102235681,42993,0.131859906,0.042050872,0.208385921
3571,7666,0.08262057,35827,0.109881721,0.016072397,0.107895106
3572,11328,0.122087897,49618,0.152178838,0.068343373,0.301290142
3573,8316,0.089625967,35663,0.109378732,0.025350424,0.105595288
3575,8321,0.089679854,36910,0.113203292,0.025421793,0.123082317
3579,8823,0.095090176,39789,0.12203321,0.032587285,0.163455336
3580,7577,0.08166137,39491,0.121119241,0.014802021,0.159276399
3581,9264,0.099843068,35182,0.1079035,0.038882069,0.098850091
3584,9263,0.099832291,43133,0.132289287,0.038867795,0.21034918
3585,11301,0.121796904,42126,0.129200809,0.067957978,0.196227738
3586,9120,0.098291104,43142,0.13231689,0.036826629,0.210475389
3588,7139,0.07694081,37290,0.114368755,0.008550059,0.128411163
3589,13831,0.149064063,34410,0.10553577,0.104070913,0.08802412
3590,9870,0.106374254,36801,0.112868988,0.047532045,0.121553779
3591,9680,0.104326522,46912,0.143879513,0.044820006,0.26334315
3594,7860,0.084711412,36153,0.110881566,0.018841531,0.112466695
3595,7223,0.077846123,34954,0.107204223,0.009749065,0.095652784
